cFECHAINI,CELULAR,cbstart,cbend,cFECHAFIN
2023-06-30 12:52:44.75,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-30 12:52:45.06
2023-06-30 12:52:48.23,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-30 12:52:54.69
2023-06-30 12:53:00.80,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-30 12:53:04.18
2023-06-30 12:53:04.56,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-30 12:53:09.05
2023-06-30 13:04:41.34,f44e072b-5325-4d79-a16f-b4f1f9271fda,11,11,2023-06-30 13:04:45.68
2023-06-30 13:08:03.04,f44e072b-5325-4d79-a16f-b4f1f9271fda,12,12,2023-06-30 13:08:08.09
2023-06-30 13:16:57.87,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,14,2023-06-30 13:24:45.69
2023-06-30 13:35:48.84,f44e072b-5325-4d79-a16f-b4f1f9271fda,16,16,2023-06-30 13:35:49.38
2023-06-30 13:35:50.31,f44e072b-5325-4d79-a16f-b4f1f9271fda,16,11,2023-06-30 14:02:04.35
2023-06-30 14:05:06.04,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,14,2023-06-30 14:05:09.00
2023-06-30 14:07:05.71,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,14,2023-06-30 14:07:06.16
2023-06-30 14:07:10.71,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,14,2023-06-30 14:07:12.77
2023-06-30 14:07:15.21,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,14,2023-06-30 14:07:17.27
2023-06-30 14:09:00.44,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,14,2023-06-30 14:09:03.17
2023-06-30 14:09:04.29,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,14,2023-06-30 14:09:05.68
2023-06-30 14:09:08.21,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,6,2023-06-30 14:41:04.32
2023-06-30 14:41:18.13,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-30 14:41:18.63
2023-07-01 01:54:36.92,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 01:54:37.55
2023-07-01 01:54:39.31,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 01:54:39.52
2023-07-01 01:58:41.15,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 01:58:42.55
2023-07-01 01:58:45.15,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 01:58:47.35
2023-07-01 01:59:41.74,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 01:59:43.05
2023-07-01 01:59:43.92,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 01:59:44.78
2023-07-01 02:04:02.34,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 02:04:09.19
2023-07-01 02:04:12.87,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 02:04:15.18
2023-07-01 02:04:15.80,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 02:04:18.60
2023-07-01 02:11:35.40,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 02:11:37.55
2023-07-01 02:11:39.37,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 02:11:39.66
2023-07-01 02:13:58.62,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 02:13:59.57
2023-07-01 02:16:14.56,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 02:16:16.26
2023-07-01 02:20:30.90,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 02:20:32.02
2023-07-01 02:23:53.57,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-07-01 02:23:54.69
2023-07-01 02:23:55.26,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-07-01 02:23:56.00
2023-07-01 02:23:56.83,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-07-01 02:23:57.11
2023-07-01 02:23:57.32,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-07-01 02:23:57.60
2023-07-01 02:24:01.22,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-07-01 02:24:03.44
2023-07-01 02:29:47.69,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-07-01 02:29:51.20
2023-06-30 09:10:58.12,11c8011f-41cb-49d7-bf2f-d277977d01a1,100,28,2023-07-01 06:41:04.81
2023-07-01 12:55:18.87,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 12:55:19.79
2023-07-01 12:55:24.29,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 12:55:26.59
2023-07-01 12:55:31.73,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 12:55:34.43
2023-07-01 12:55:36.80,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 12:55:39.19
2023-07-01 13:04:27.95,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-07-01 13:04:29.29
2023-07-01 13:33:45.14,f44e072b-5325-4d79-a16f-b4f1f9271fda,13,13,2023-07-01 13:33:47.20
2023-07-01 18:04:30.62,f44e072b-5325-4d79-a16f-b4f1f9271fda,12,9,2023-07-01 18:53:55.45
2023-07-01 18:54:00.68,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,8,2023-07-01 18:54:05.34
2023-07-01 07:51:16.23,11c8011f-41cb-49d7-bf2f-d277977d01a1,70,14,2023-07-01 19:28:44.94
2023-06-23 06:14:52.07,f44e072b-5325-4d79-a16f-b4f1f9271fda,100,100,2023-06-23 06:16:16.52
2023-06-23 06:16:18.80,f44e072b-5325-4d79-a16f-b4f1f9271fda,100,100,2023-06-23 06:16:21.11
2023-06-23 06:18:41.23,f44e072b-5325-4d79-a16f-b4f1f9271fda,100,2,2023-06-23 20:28:39.46
2023-06-23 20:47:53.60,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-06-23 20:48:05.46
2023-06-23 20:54:16.29,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-06-23 20:57:19.68
2023-06-24 21:24:09.12,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-24 21:24:10.03
2023-06-24 21:27:37.62,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-06-24 21:27:41.31
2023-06-25 00:26:22.81,f44e072b-5325-4d79-a16f-b4f1f9271fda,100,4,2023-06-25 19:05:10.59
2023-06-24 21:24:09.12,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-24 21:24:10.03
2023-06-24 21:27:37.62,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-06-24 21:27:41.31
2023-06-25 00:26:22.81,f44e072b-5325-4d79-a16f-b4f1f9271fda,100,4,2023-06-25 19:05:10.59
2023-06-27 01:59:01.54,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-27 01:59:05.97
2023-06-27 08:18:40.12,11c8011f-41cb-49d7-bf2f-d277977d01a1,29,29,2023-06-27 08:18:40.82
2023-06-27 08:18:41.39,11c8011f-41cb-49d7-bf2f-d277977d01a1,29,28,2023-06-27 08:36:58.67
2023-06-27 09:03:11.90,11c8011f-41cb-49d7-bf2f-d277977d01a1,41,41,2023-06-27 09:03:51.41
2023-06-27 01:59:01.54,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-27 01:59:05.97
2023-06-27 10:28:32.28,11c8011f-41cb-49d7-bf2f-d277977d01a1,96,29,2023-06-28 09:45:41.24
2023-06-28 10:14:46.97,11c8011f-41cb-49d7-bf2f-d277977d01a1,48,41,2023-06-28 11:33:11.87
